3668

(-0.231999, -0.666008, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.227999, -0.656582, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.223999, -0.647052, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.219999, -0.637420, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.215999, -0.627688, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.211999, -0.617856, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.207999, -0.607927, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.203999, -0.597901, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.199999, -0.587782, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.195999, -0.577569, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.191999, -0.567265, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.187999, -0.556872, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.183999, -0.546391, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.179999, -0.535823, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.175999, -0.525171, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.171999, -0.514436, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.167999, -0.503619, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.163999, -0.492724, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.159999, -0.481750, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.155999, -0.470700, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.151999, -0.459576, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.147999, -0.448379, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.143999, -0.437112, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.139999, -0.425776, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.135999, -0.414372, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.131999, -0.402903, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.127999, -0.391370, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.123999, -0.379775, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.119999, -0.368121, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.115999, -0.356408, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.111999, -0.344639, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.107999, -0.332816, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.103999, -0.320940, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
